[2024/10/30 15:55:43] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:07:44] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:29:56] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:32:48] ppsci WARNING: The argument: 'lr_scheduler' now automatically retrieves from 'optimizer._learning_rate' when 'optimizer' is given, so it is recommended to remove it from the Solver's initialization arguments.
[2024/10/30 16:32:48] ppsci MESSAGE: Finish loading pretrained model from: outputs_fourcastnet_pretrain/checkpoints/latest.pdparams
[2024/10/30 16:32:48] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/10/30 16:32:48] ppsci INFO: Set to_static=False for computational optimization.
[2024/10/30 16:37:50] ppsci INFO: [Train][Epoch  1/20][Iter  530/4080] lr: 0.00010, loss: 0.09533, Sup: 0.09533, batch_cost: 0.56508s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:30
[2024/10/30 16:37:56] ppsci INFO: [Train][Epoch  1/20][Iter  540/4080] lr: 0.00010, loss: 0.09570, Sup: 0.09570, batch_cost: 0.56529s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:42
[2024/10/30 16:38:02] ppsci INFO: [Train][Epoch  1/20][Iter  550/4080] lr: 0.00010, loss: 0.09577, Sup: 0.09577, batch_cost: 0.56538s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:44
[2024/10/30 16:38:07] ppsci INFO: [Train][Epoch  1/20][Iter  560/4080] lr: 0.00010, loss: 0.09613, Sup: 0.09613, batch_cost: 0.56548s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:46
[2024/10/30 16:38:13] ppsci INFO: [Train][Epoch  1/20][Iter  570/4080] lr: 0.00010, loss: 0.09615, Sup: 0.09615, batch_cost: 0.56564s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:53
[2024/10/30 16:38:19] ppsci INFO: [Train][Epoch  1/20][Iter  580/4080] lr: 0.00010, loss: 0.09607, Sup: 0.09607, batch_cost: 0.56575s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:57
[2024/10/30 16:38:24] ppsci INFO: [Train][Epoch  1/20][Iter  590/4080] lr: 0.00010, loss: 0.09598, Sup: 0.09598, batch_cost: 0.56580s, reader_cost: 0.00023s, ips: 1.77, eta: 12:43:55
[2024/10/30 16:38:30] ppsci INFO: [Train][Epoch  1/20][Iter  600/4080] lr: 0.00010, loss: 0.09584, Sup: 0.09584, batch_cost: 0.56586s, reader_cost: 0.00024s, ips: 1.77, eta: 12:43:54
[2024/10/30 16:38:36] ppsci INFO: [Train][Epoch  1/20][Iter  610/4080] lr: 0.00010, loss: 0.09582, Sup: 0.09582, batch_cost: 0.56589s, reader_cost: 0.00024s, ips: 1.77, eta: 12:43:51
[2024/10/30 16:38:41] ppsci INFO: [Train][Epoch  1/20][Iter  620/4080] lr: 0.00010, loss: 0.09576, Sup: 0.09576, batch_cost: 0.56592s, reader_cost: 0.00024s, ips: 1.77, eta: 12:43:48
[2024/10/30 16:38:47] ppsci INFO: [Train][Epoch  1/20][Iter  630/4080] lr: 0.00010, loss: 0.09557, Sup: 0.09557, batch_cost: 0.56596s, reader_cost: 0.00024s, ips: 1.77, eta: 12:43:46
[2024/10/30 16:38:53] ppsci INFO: [Train][Epoch  1/20][Iter  640/4080] lr: 0.00010, loss: 0.09553, Sup: 0.09553, batch_cost: 0.56599s, reader_cost: 0.00024s, ips: 1.77, eta: 12:43:42
[2024/10/30 16:38:59] ppsci INFO: [Train][Epoch  1/20][Iter  650/4080] lr: 0.00010, loss: 0.09546, Sup: 0.09546, batch_cost: 0.56601s, reader_cost: 0.00024s, ips: 1.77, eta: 12:43:38
[2024/10/30 16:39:04] ppsci INFO: [Train][Epoch  1/20][Iter  660/4080] lr: 0.00010, loss: 0.09552, Sup: 0.09552, batch_cost: 0.56617s, reader_cost: 0.00024s, ips: 1.77, eta: 12:43:45
[2024/10/30 16:39:10] ppsci INFO: [Train][Epoch  1/20][Iter  670/4080] lr: 0.00010, loss: 0.09557, Sup: 0.09557, batch_cost: 0.56619s, reader_cost: 0.00024s, ips: 1.77, eta: 12:43:42
[2024/10/30 16:39:16] ppsci INFO: [Train][Epoch  1/20][Iter  680/4080] lr: 0.00010, loss: 0.09552, Sup: 0.09552, batch_cost: 0.56619s, reader_cost: 0.00024s, ips: 1.77, eta: 12:43:35
[2024/10/30 16:39:22] ppsci INFO: [Train][Epoch  1/20][Iter  690/4080] lr: 0.00010, loss: 0.09561, Sup: 0.09561, batch_cost: 0.56651s, reader_cost: 0.00024s, ips: 1.77, eta: 12:43:56
[2024/10/30 16:39:27] ppsci INFO: [Train][Epoch  1/20][Iter  700/4080] lr: 0.00010, loss: 0.09563, Sup: 0.09563, batch_cost: 0.56654s, reader_cost: 0.00024s, ips: 1.77, eta: 12:43:53
[2024/10/30 16:39:33] ppsci INFO: [Train][Epoch  1/20][Iter  710/4080] lr: 0.00010, loss: 0.09584, Sup: 0.09584, batch_cost: 0.56665s, reader_cost: 0.00024s, ips: 1.76, eta: 12:43:56
